idx,Destino_ID,lat,lon
505,9100577728,41.923210,2.253579
506,9100577732,41.922227,2.259042
507,9100577790,41.931104,2.253208
508,9100579782,41.614238,2.274921
509,9100579824,41.932992,2.261336
510,9100580278,41.427616,2.161296
511,9100582033,41.936927,2.260140
512,9100582097,41.936927,2.260140
513,9100582098,42.003834,2.295136
514,9100583212,41.548036,2.219814
515,9100590492,41.912020,2.188045
516,9100591222,41.609158,2.239292
517,9100591493,41.564013,2.234733
518,9100591545,41.610583,2.238667
519,9100592884,41.943206,2.258075
520,9100593250,42.003577,2.283574
521,9100597250,41.551082,1.040164
522,9100597581,41.582010,2.237337
523,9100601539,41.548148,2.254108
524,9100601682,41.540498,2.263486
525,9100602372,41.629030,2.231522
526,9100606155,42.003577,2.283574
527,9100607527,41.621271,2.294643
528,9100609140,41.925384,2.257122
529,9100609846,42.051307,2.254576
530,9100610240,41.935702,2.259921
531,9100610435,41.544915,2.220243
532,9100612100,41.546990,2.203547
533,9100613076,41.511603,2.241409
534,9100614225,41.898665,2.282524
535,9100616552,41.599746,2.287096
536,9100617121,41.542339,2.268076
537,9100617395,41.542915,2.221265
538,9100617475,41.567654,2.227606
539,9100617812,41.930374,2.256365
540,9100619658,41.607696,2.290002
541,9100620561,41.609465,2.288002
542,9100621389,41.597535,2.288429
543,9100622604,41.542577,2.263950
544,9100623018,41.538710,2.213336
545,9100626406,41.573011,2.235848
546,9100626587,41.609992,2.302936
547,9100627170,42.101426,2.217029
548,9100627485,41.597569,2.242300
549,9100627695,41.925582,2.328720
550,9100627990,41.517218,2.144816
551,9100629126,41.607935,2.284838
552,9100629788,41.535829,2.215909
553,9100629896,41.599703,2.291233
554,9100630014,41.599986,2.290561
555,9100632171,41.932909,2.256359
556,9100632834,41.535509,2.217776
557,9100633076,41.603496,2.287921
558,9100634160,41.951391,2.283847
559,9100634356,42.008933,2.240238
560,9100636960,41.930506,2.258080
561,9100637313,41.999601,2.283013
562,9100639016,42.001147,2.284849
563,9100639032,41.608879,2.290621
564,9100640157,42.015155,2.239918
565,9100641568,41.527431,2.242834
566,9100641799,42.009355,2.301999
567,9100642838,41.928317,2.252113
568,9100643487,41.572044,2.236293
569,9100645059,41.930727,2.249510
570,9100645312,41.608339,2.288435
571,9100646097,41.538549,2.213402
572,9100646795,41.543048,2.211993
573,9100646871,41.575738,2.024970
574,9100647947,41.605095,2.290546
575,9100648495,41.940971,2.253514
576,9100649610,41.935685,2.260251
577,9100650953,41.540300,2.271578
578,9100650976,41.539619,2.263020
579,9100651724,41.927242,2.255694
580,9100651895,41.606642,2.291919
581,9100652615,41.573134,2.233839
582,9100652617,41.600058,2.277620
583,9100652762,42.047179,2.260597
584,9100653307,41.545131,2.216704
585,9100653354,41.607157,2.226912
586,9100653355,41.617256,2.269830
587,9100653427,41.545072,2.205698
588,9100655002,41.533522,2.215826
589,9100655372,41.547999,2.219331
590,9100658142,41.608879,2.290621
591,9100658144,41.613748,2.289596
592,9100658240,42.070695,2.290833
593,9100659648,41.611142,2.277884
594,9100660484,41.536904,2.211937
595,9100661113,41.566831,2.230110
596,9100661227,41.561669,2.228238
597,9100661498,41.609992,2.302936
598,9100663743,41.541629,2.211067
599,9100663784,41.540867,2.219165
600,9100664303,41.609454,2.287857
601,9100665155,41.547536,2.207676
602,9100666589,41.615639,2.217418
603,9100666666,41.927968,2.252587
604,9100666742,41.946044,2.241933
605,9100668218,41.920984,2.251159
606,9100668715,41.920697,2.249137
607,9100669176,42.042258,2.271991
608,9100669500,41.565083,2.227230
609,9100669635,41.933909,2.242707
610,9100669904,41.555571,2.270527
611,9100670399,41.546994,2.204472
612,9100670427,41.562495,2.230057
613,9100670575,42.009755,2.244036
614,9100671265,41.572186,2.235472
615,9100673632,41.932562,2.265932
616,9100675584,41.608517,2.239511
617,9100676061,41.530580,2.185875
618,9100677377,41.607952,2.286669
619,9100677459,41.589994,2.249951
620,9100677847,42.101426,2.217029
621,9100678069,41.933423,2.245420
622,9100678134,41.606114,2.300811
623,9100678295,41.550844,2.243987
624,9100678356,41.224719,1.723867
625,9100678719,41.930653,2.257256
626,9100679516,41.613564,2.238976
627,9100679898,41.609158,2.239292
628,9100679906,41.518752,2.232832
629,9100680026,41.604935,2.287564
630,9100680393,41.541756,2.212880
631,9100681160,41.592642,2.264244
632,9100681218,41.604753,2.283938
633,9100681243,42.008243,2.281748
634,9100681544,41.619556,2.297708
635,9100682040,41.934416,2.253472
636,9100682415,41.608595,2.288901
637,9100682473,41.609642,2.283416
638,9100682560,42.109323,2.210945
639,9100683566,41.638043,2.236990
640,9100683728,41.549758,2.245471
641,9100684101,41.544694,2.217975
642,9100684195,41.538042,2.214186
643,9100686742,41.536503,2.206440
644,9100687352,42.048034,2.263129
645,9100687896,41.575738,2.024970
646,9100688668,41.547965,2.207612
647,9100691332,42.101928,2.216690
648,9100692245,41.561669,2.228238
649,9100694685,42.003528,2.285927
650,9100694999,42.049903,2.262783
651,9100695039,41.541670,2.207361
652,9100695182,41.545986,2.210377
653,9100695278,41.608570,2.285838
654,9100696143,41.477211,2.188616
655,9100698329,41.586300,2.239140
656,9100698420,41.561845,2.229052
657,9100698675,41.435662,2.226909
658,9100698744,41.538729,2.214387
659,9100698912,41.597012,2.288545
660,9100699710,41.607706,2.283492
661,9100700207,41.931187,2.254244
662,9100700301,41.592940,2.290122
663,9100700874,41.609992,2.302936
664,9100701166,41.546000,2.208720
665,9100701291,41.575294,2.249164
666,9100701777,41.586336,2.280992
667,9100702482,41.608879,2.290621
668,9100702970,41.540214,2.211742
669,9100703223,42.125515,2.219654
670,9100703436,41.930050,2.255549
671,9100703647,41.606661,2.290090
672,9100703787,41.925476,2.282754
673,9100708130,41.545733,2.207969
674,9100716110,42.045010,2.272013
675,9100717340,41.608703,2.286205
676,9100717355,41.607506,2.240180
677,9100717724,41.933909,2.242707
678,9100718615,41.591116,2.288021
679,9100721293,41.553607,2.230115
680,9100722247,42.001222,2.286075
681,9100722376,42.007400,2.292871
682,9100722593,41.981413,2.309675
683,9100723081,41.841766,2.250990
684,9100723139,41.674435,2.209821
685,9100723264,41.481027,2.035849
686,9100723316,41.600215,2.281061
687,9100723869,42.054711,2.257411
688,9100724298,41.542243,2.264912
689,9100725280,41.548452,2.206748
690,9100725292,41.544490,2.263859
691,9100725417,41.542339,2.268076
692,9100726583,41.540300,2.271578
693,9100726650,41.609158,2.239292
694,9100727009,41.930535,2.255095
695,9100727035,41.924119,2.322177
696,9100727703,41.539612,2.209980
697,9100727750,41.604557,2.288142
698,9100729132,41.620560,2.213236
699,9100729258,41.607553,2.290592
700,9100729943,41.551043,2.247244
701,9100729954,41.376372,2.166367
702,9100730075,41.928405,2.254710
703,9100730939,41.604278,2.291264
704,9100731896,41.544956,2.212899
705,9100731938,42.068852,2.290817
706,9100732766,41.610075,2.290380
707,9100733355,41.621178,2.300617
708,9100733360,41.538860,2.217610
709,9100735422,41.557427,2.252341
710,9100735547,41.647503,2.306631
711,9100735783,41.940042,2.250364
712,9100735784,41.949359,2.250376
713,9100736185,42.244095,2.313442
714,9100736216,41.929745,2.255116
715,9100736219,41.879243,2.511263
716,9100736220,42.317665,2.135194
717,9100736222,41.952056,2.326706
718,9100736227,41.815446,2.513035
719,9100736228,42.330346,2.311787
720,9100736229,42.264500,2.367723
721,9100736244,42.305260,2.166990
722,9100736259,41.973421,2.346359
723,9100736266,42.088247,2.145974
724,9100736411,42.313841,2.364572
725,9100736469,41.455953,2.218977
726,9100736471,41.372577,2.067348
727,9100736486,41.438236,2.216669
728,9100736601,41.431337,2.217863
729,9100737231,41.612891,2.294838
730,9100737399,41.651916,2.218326
731,9100737822,41.376372,2.166367
732,9100738166,41.612891,2.294838
733,9100739178,42.233128,2.286763
734,9100740330,41.537993,2.214525
735,9100740458,41.560866,1.998741
736,9100740503,41.920584,2.250764
737,9100742280,41.654401,2.229650
738,9100742290,41.929051,2.298813
739,9100742484,41.548374,2.207441
740,9100742644,41.601614,2.296243
741,9100742873,41.935080,2.267016
742,9100743172,41.597991,2.290207
743,9100743215,41.903509,2.281774
744,9100743554,41.552208,2.242234
745,9100743595,41.541162,2.075403
746,9100743597,41.548045,2.027546
747,9100743608,41.557743,2.018727
748,9100743845,41.608191,2.285836
749,9100743868,41.597012,2.288545
750,9100744181,41.605725,2.238985
751,9100744232,41.609541,2.285791
752,9100744307,41.547429,2.203361
753,9100745043,41.600264,2.290439
754,9100745325,41.615367,2.211140
755,9100745447,41.547811,2.219655
756,9100745478,41.933126,2.241895
757,9100745490,41.930763,2.246250
758,9100745792,41.552208,2.242234
759,9100745929,41.571559,2.024162
760,9100745932,41.553210,2.021589
761,9100746500,41.929322,2.256373
762,9100746832,41.946289,2.255043
763,9100746984,41.546052,2.206907
764,9100746992,41.554665,2.233547
765,9100747036,41.604557,2.288142
766,9100747490,41.562490,2.027674
767,9100747591,41.609850,2.302168
768,9100748566,41.931418,2.259441
769,9100749021,41.551053,2.248644
