direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
AVINGUDA DE RIVOLI 24|08100|MOLLET DEL VALLES,41.546707,2.208060,41.546637,2.208090,8.17,Avinguda de Rivoli,,1
AVINGUDA DE SANT JULIA 201|08403|GRANOLLERS,41.600058,2.277620,41.600058,2.277620,0.00,Avinguda Sant Julià,,1
AVINGUDA DE SANT JULIA 217|08403|GRANOLLERS,41.600058,2.277620,41.600058,2.277620,0.00,Avinguda Sant Julià,,1
AVINGUDA DE SANT LLORENC 68|08504|SANT JULIA DE VILATORTA,41.925582,2.328720,41.925582,2.328720,0.00,Avinguda de Sant Llorenç,,1
AVINGUDA DEL CAMI DE LA FONTSAN S/N|08572|SANT PERE DE TORELLO,42.068852,2.290817,42.068852,2.290817,0.00,Avinguda de la Fontsanta,,1
AVINGUDA DEL CASTELL 18|08570|TORELLO,42.054711,2.257411,42.054711,2.257411,0.00,Avinguda del Castell,,1
AVINGUDA DEL MIL·LENARI S/N|08160|MONTMELO,41.552208,2.242234,41.552208,2.242234,0.00,Avinguda Mil·lenari,,1
AVINGUDA DEL PARC 1|08100|MOLLET DEL VALLES,41.544956,2.212899,41.545014,2.212993,10.15,Avinguda del Parc,,1
AVINGUDA DEL PARC 5|08402|GRANOLLERS,41.607553,2.290592,41.607553,2.290592,0.00,Avinguda del Parc,,1
AVINGUDA DEL RIU MOGENT 1|08170|MONTORNES DEL VALLES,41.547529,2.265113,41.547529,2.265113,0.00,avinguda del Riu Mogent,,1
AVINGUDA DELS PAISOS CATALANS 49|08500|VIC,41.920697,2.249137,41.920697,2.249138,0.08,Avinguda dels Països Catalans,,1
AVINGUDA GAUDI 34|08512|SANT HIPOLIT DE VOLTREGA,42.014190,2.242670,42.014190,2.242670,0.00,Avinguda de Gaudí,,1
AVINGUDA MONTSERRAT 12|08185|LLICA DE VALL,41.597569,2.242300,41.597569,2.242301,0.08,Avinguda de Montserrat,,1
AVINGUDA NOSTRA SENYORA DE MONTS 22|08504|SANT JULIA DE VILATORTA,41.924119,2.322177,41.924119,2.322177,0.00,Avinguda de Nostra Senyora de Montserrat,,1
AVINGUDA PAU CASALS 22|08506|CALLDETENES,41.925277,2.284270,41.925277,2.284271,0.08,Avinguda Pau Casals,,1
AVINGUDA SANT ESTEVE 96|08402|GRANOLLERS,41.600264,2.290439,41.600264,2.290439,0.00,Avinguda de Sant Esteve,,1
AVINGUDA TECLA SALA 42|08510|RODA DE TER,41.988645,2.313814,41.988645,2.313814,0.00,Avinguda de Tecla Sala,,1
BAILEN 31|08430|ROCA DEL VALLES (LA),41.587336,2.326058,41.587303,2.326220,14.00,Carrer de Pompeu Fabra,,1
