direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
CARRER DE CARLES RIBA 3|08170|MONTORNES DEL VALLES,41.555571,2.270527,41.555571,2.270527,0.00,carrer de Carles Riba,,1
CARRER DE CLAUDI ARANO I ARANO 17|08100|MOLLET DEL VALLES,41.553607,2.230115,41.553607,2.230115,0.00,Carrer de Claudi Arañó i Arañó,,1
CARRER DE CORRO 15|08401|GRANOLLERS,41.609454,2.287857,41.609582,2.288552,59.64,,,1
CARRER DE FEDERICO GARCIA LORCA 12|08170|MONTORNES DEL VALLES,41.554961,2.268810,41.554961,2.268810,0.00,Carrer de Federico García Lorca,,1
CARRER DE FEDERICO GARCIA LORCA 25|08170|MONTORNES DEL VALLES,41.554961,2.268810,41.554961,2.268810,0.00,Carrer de Federico García Lorca,,1
CARRER DE FEDERICO GARCIA LORCA 2|08170|MONTORNES DEL VALLES,41.553719,2.267259,41.553719,2.267260,0.08,Carrer de Federico García Lorca,,1
CARRER DE FOLCH I TORRES 102|08186|LLICA D'AMUNT,41.613564,2.238976,41.613564,2.238976,0.00,Carrer d'en Folch i Torres,,1
CARRER DE FRANCESC FERRER I GUAR 15|08100|MOLLET DEL VALLES,41.548881,2.208202,41.548881,2.208202,0.00,Carrer de Francesc Ferrer i Guàrdia,,1
CARRER DE FRANCESC FERRER I GUAR 21|08100|MOLLET DEL VALLES,41.548452,2.206748,41.548522,2.206718,8.17,Carrer de Francesc Ferrer i Guàrdia,,1
CARRER DE FRANCESC LAYRET 71|08100|MOLLET DEL VALLES,41.547429,2.203361,41.547459,2.203497,11.83,Carrer de Francesc Layret,,1
CARRER DE FRANCESC MARIA MASFERRE 4|08500|VIC,41.928472,2.259685,41.928463,2.259020,55.17,,,1
CARRER DE FRANCESC PLA EL VIGATA 1|08500|VIC,41.936927,2.260140,41.937289,2.260013,41.57,,,1
CARRER DE FRUCTUOS GELABERT 1|08970|SANT JOAN DESPI,41.372577,2.067348,41.372577,2.067348,0.00,Carrer de Fructuós Gelabert,,1
CARRER DE GAIETA VINZIA 20|08100|MOLLET DEL VALLES,41.540214,2.211742,41.540154,2.211667,9.14,Carrer de Gaietà Vinzia,,1
CARRER DE GALLECS 47|08100|MOLLET DEL VALLES,41.546000,2.208720,41.546023,2.208765,4.54,Carrer de Gallecs,,1
CARRER DE GALLECS 71|08100|MOLLET DEL VALLES,41.547965,2.207612,41.547995,2.207736,10.87,Carrer de Gallecs,,1
CARRER DE GALLECS 75|08100|MOLLET DEL VALLES,41.548374,2.207441,41.548403,2.207559,10.36,Carrer de Gallecs,,1
CARRER DE GIRONA 122|08402|GRANOLLERS,41.608879,2.290621,41.608879,2.290621,0.00,Carrer de Girona,,1
CARRER DE GIRONA 161|08402|GRANOLLERS,41.608879,2.290621,41.608879,2.290621,0.00,Carrer de Girona,,1
CARRER DE GIRONA 4|08402|GRANOLLERS,41.608879,2.290621,41.608879,2.290621,0.00,Carrer de Girona,,1
CARRER DE GIRONA 90|08402|GRANOLLERS,41.608879,2.290621,41.608879,2.290621,0.00,Carrer de Girona,,1
CARRER DE JACINT VERDAGUER 6|08170|MONTORNES DEL VALLES,41.541348,2.264628,41.541009,2.264494,39.28,Carrer de Joan XXIII,,1
CARRER DE JACINT VERDAGUER 9|08170|MONTORNES DEL VALLES,41.542243,2.264912,41.542274,2.264925,3.61,Carrer de l'Estrella,,1
CARRER DE JAUME COLL 3|08100|MOLLET DEL VALLES,41.545837,2.206997,41.545872,2.207135,12.16,Carrer de Jaume Coll,,1
CARRER DE JOAN BROSSA 7|08100|MOLLET DEL VALLES,41.536464,2.205967,41.536378,2.206184,20.48,,,1
CARRER DE JOAN COROMINAS 22|08401|GRANOLLERS,41.607952,2.286669,41.608184,2.286049,57.74,Carrer de Sant Bartomeu,,1
CARRER DE JOAN MARAGALL 19|08100|MOLLET DEL VALLES,41.536503,2.206440,41.536492,2.206321,10.01,Carrer del Poeta Joan Maragall,,1
CARRER DE JOAN PRIM 7|08401|GRANOLLERS,41.615328,2.290970,41.615328,2.290970,0.00,Carrer de Joan Prim,,1
CARRER DE JOAN XXIII 4|08107|MARTORELLES,41.527431,2.242834,41.527431,2.242834,0.00,avinguda de Joan XXIII,,1
CARRER DE JOANOT MARTORELL 34|08403|GRANOLLERS,41.611142,2.277884,41.611142,2.277884,0.00,Carrer Joanot Martorell,,1
CARRER DE JOAQUIM MIR 53|08100|MOLLET DEL VALLES,41.545131,2.216704,41.545131,2.216704,0.00,Carrer del Pintor Joaquim Mir,,1
CARRER DE L'AGRICULTURA 11|08100|MOLLET DEL VALLES,41.545733,2.207969,41.545778,2.207929,6.01,Carrer de l'Agricultura,,1
CARRER DE L'ALCALDE PERE ROVIRA 2|17860|SANT JOAN DE LES ABEDESSES,42.233128,2.286763,42.182418,2.236662,6988.31,Camí de Llaés a Sant Bernabé de Tenes,,0
CARRER DE L'ALZINA 29|08186|LLICA D'AMUNT,41.602315,2.199076,41.602315,2.199076,0.00,Carrer de l'Alzina,,1
CARRER DE L'ANOIA 7|08192|SANT QUIRZE DEL VALLES,41.541162,2.075403,41.541161,2.075403,0.11,Carrer de l'Anoia,,1
CARRER DE L'HOSPITAL 7|08402|GRANOLLERS,41.613701,2.296286,41.613791,2.296553,24.39,,,1
CARRER DE LA CANAL 9|17869|VILALLONGA DE TER,42.330346,2.311787,42.182418,2.236662,17561.47,Camí de Llaés a Sant Bernabé de Tenes,,0
CARRER DE LA CIUTAT S/N|08500|VIC,41.929745,2.255116,41.929745,2.255116,0.00,Carrer de la Ciutat,,1
CARRER DE LA FUSINA 34|08500|VIC,41.930653,2.257256,41.930653,2.257256,0.00,Carrer Fusina,,1
CARRER DE LA LLOTJA 7|08500|VIC,41.926198,2.246843,41.926198,2.246842,0.08,Carrer de la Llotja,,1
CARRER DE LA MINA 8|08150|PARETS DEL VALLES,41.561845,2.229052,41.561846,2.229052,0.11,Carrer de la Mina,,1
CARRER DE LA PAU 21|08100|MOLLET DEL VALLES,41.537993,2.214525,41.538151,2.214107,39.05,Carrer d'Anselm Clavé,,1
CARRER DE LA PAU 28|08100|MOLLET DEL VALLES,41.538042,2.214186,41.538087,2.214065,11.27,Carrer d'Anselm Clavé,,1
CARRER DE LA RIBERA D'EBRE 56|08186|LLICA D'AMUNT,41.615639,2.217418,41.615586,2.217115,25.93,Carrer de la Ribera d'Ebre,,1
CARRER DE LES CARNISSERIES 34|08500|VIC,41.930050,2.255549,41.930125,2.255753,18.86,Carrer dels Argenters,,1
CARRER DE MAGALLANES 16|08100|MOLLET DEL VALLES,41.545245,2.211242,41.545286,2.211194,6.07,Carrer de Magallanes,,1
CARRER DE MANUEL SERRA I MORET 4|08500|VIC,41.224719,1.723867,41.346466,1.955123,23627.05,Avinguda Torrelletes,,0
CARRER DE MARY SANTPERE 1|08150|PARETS DEL VALLES,41.565083,2.227230,41.565266,2.227355,22.84,Carrer de Mary Santpere,,1
CARRER DE MATARO 5|08500|VIC,41.940042,2.250364,41.940043,2.250364,0.11,Carrer de Mataró,,1
CARRER DE MILA 22|08917|BADALONA,41.455953,2.218977,41.455925,2.218943,4.21,Carrer de Milà,,1
CARRER DE MINETES 29|08402|GRANOLLERS,41.612156,2.293106,41.612156,2.293106,0.00,Carrer de les Minetes,,1
CARRER DE MIRAMARGES 10|08500|VIC,41.932426,2.247479,41.932299,2.246981,43.65,,,1
CARRER DE MONISTROL 1|08150|PARETS DEL VALLES,41.562495,2.230057,41.562495,2.230057,0.00,Carrer de Monistrol,,1
CARRER DE MONTSERRAT ROIG 19|08402|GRANOLLERS,41.593655,2.288749,41.593655,2.288749,0.00,Carrer de Montserrat Roig,,1
CARRER DE NURIA 24|08560|MANLLEU,42.004092,2.278262,42.004092,2.278262,0.00,Carrer de Núria,,1
CARRER DE PALAUDARIES 88|08186|LLICA D'AMUNT,41.615367,2.211140,41.615367,2.211140,0.00,Carrer del Solsonès,,1
CARRER DE POMPEU FABRA 15|08401|GRANOLLERS,41.607935,2.284838,41.607687,2.284920,28.38,Carrer de Sant Josep,,1
CARRER DE PONENT 55|08401|GRANOLLERS,41.612566,2.286896,41.612543,2.286985,7.84,Carrer de Ponent,,1
CARRER DE PRAT DE LA RIBA 31|08150|PARETS DEL VALLES,41.562347,2.229794,41.562347,2.229794,0.00,Carrer Prat de la Riba,,1
CARRER DE RAMON CASAS 9|08100|MOLLET DEL VALLES,41.541756,2.212880,41.541804,2.212868,5.42,Carrer de Ramon Llull,,1
CARRER DE RIPOLL 33|08500|VIC,41.946289,2.255043,41.946115,2.255123,20.43,Carrer de Ripoll,,1
CARRER DE ROGER DE FLOR 61|08401|GRANOLLERS,41.607706,2.283492,41.607718,2.283255,19.80,Carrer de Roger de Flor,,1
CARRER DE ROGER DE FLOR 75|08401|GRANOLLERS,41.609642,2.283416,41.609642,2.283417,0.08,Carrer de Roger de Flor,,1
CARRER DE RUPIT 12|08500|VIC,41.951391,2.283847,41.951391,2.283847,0.00,Carrer de Rupit,,1
CARRER DE SALVADOR ESPRIU 7|08100|MOLLET DEL VALLES,41.547536,2.207676,41.547585,2.207655,5.72,Carrer de Salvador Espriu,,1
CARRER DE SANT FELIU 19|08570|TORELLO,42.046354,2.262491,42.046567,2.262967,45.98,Carrer de Sant Feliu,,1
CARRER DE SANT JAUME 46|08401|GRANOLLERS,41.608570,2.285838,41.608570,2.285838,0.00,Carrer de Sant Jaume,,1
CARRER DE SANT JOAN 26|08100|MOLLET DEL VALLES,41.543966,2.209127,41.543926,2.209175,5.98,Carrer de Sant Joan,,1
CARRER DE SANT LLORENC 52|08100|MOLLET DEL VALLES,41.541629,2.211067,41.541605,2.211020,4.74,Carrer de Sant Llorenç,,1
CARRER DE SANT MIQUEL 1|08570|TORELLO,42.048034,2.263129,42.048034,2.263129,0.00,Carrer Sant Miquel,,1
CARRER DE SANT PAU 39|08500|VIC,41.930858,2.259253,41.930857,2.259253,0.11,Carrer de Sant Pau,,1
CARRER DE SANT PERE 7|08560|MANLLEU,42.003528,2.285927,42.003528,2.285927,0.00,Carrer de Sant Pere,,1
CARRER DE SANT QUINTI 45|17534|RIBES DE FRESER,42.305260,2.166990,42.182418,2.236662,14807.82,Camí de Llaés a Sant Bernabé de Tenes,,0
CARRER DE SANT SADURNI 12|08500|VIC,41.929322,2.256373,41.929599,2.256506,32.68,Carrer de Cardona,,1
CARRER DE SANTA ELISABET 15|08401|GRANOLLERS,41.608807,2.287812,41.609582,2.288552,105.89,,,1
CARRER DE TRES TORRES 2|08401|GRANOLLERS,41.597993,2.284474,41.597993,2.284474,0.00,Carrer de les Tres Torres,,1
CARRER DE VELEZ RUBIO 12|08918|BADALONA,41.435662,2.226909,41.435662,2.226909,0.00,Carrer de Vélez Rubio,,1
CARRER DE VILLA 79|08173|SANT CUGAT DEL VALLES,41.461238,2.079963,41.462472,2.078782,168.86,Rambla de Rivera,,1
CARRER DE WAGNER 2|08222|TERRASSA,41.562490,2.027674,41.562490,2.027674,0.00,Carrer de Wagner,,1
CARRER DEL BISBE CASTANYER 15|08572|SANT PERE DE TORELLO,42.074776,2.295978,42.074734,2.295794,15.93,,,1
CARRER DEL CAMP DE LES MORERES 3|08401|GRANOLLERS,41.600215,2.281061,41.600215,2.281061,0.00,Carrer Camp de les Moreres,,1
CARRER DEL FERROCARRIL 80|08100|MOLLET DEL VALLES,41.541670,2.207361,41.541382,2.207735,44.69,Carrer del Ferrocarril,,1
CARRER DEL FREIXA 1|17864|SANT PAU DE SEGURIES,42.264500,2.367723,42.169713,2.361037,10543.18,Carretera de Vidrà a Sant Privat d'en Bas,,0
CARRER DEL GERMA JOAQUIM 55|08223|TERRASSA,41.553210,2.021589,41.553210,2.021589,0.00,Carrer del Germà Joaquim,,1
CARRER DEL GRAN VIAL 3|08170|MONTORNES DEL VALLES,41.545701,2.261799,41.545602,2.261842,11.57,,,1
CARRER DEL MESTRE QUER 12|08580|SANT QUIRZE DE BESORA,42.101928,2.216690,42.101928,2.216690,0.00,Carrer del Mestre Quer,,1
CARRER DEL PARE COLL 2|08500|VIC,41.934416,2.253472,41.934416,2.253472,0.00,Carrer del Pare Coll,,1
CARRER DEL PINTOR MIR 2|08160|MONTMELO,41.550400,2.249668,41.550400,2.249668,0.00,Carrer Pintor Mir,,1
CARRER DEL PLA DE BAIX 51|08402|GRANOLLERS,41.597012,2.288545,41.597012,2.288546,0.08,Carrer del Pla de Baix,,1
CARRER DEL PLA DE BAIX 53|08402|GRANOLLERS,41.597012,2.288545,41.597012,2.288546,0.08,Carrer del Pla de Baix,,1
CARRER DEL PLA DE BALENYA 7|08500|VIC,41.932157,2.253376,41.932157,2.253376,0.00,Carrer del Pla de Balenyà,,1
CARRER DEL PLA DE BALENYA 9|08500|VIC,41.932157,2.253376,41.932157,2.253376,0.00,Carrer del Pla de Balenyà,,1
CARRER DEL RAVAL 1|08150|PARETS DEL VALLES,41.573134,2.233839,41.573072,2.233868,7.30,Carrer Major,,1
CARRER DEL TER 172|08570|TORELLO,42.050277,2.248451,42.050277,2.248451,0.00,Carrer del Ter,,1
CARRER DEL TIL·LER 27|08503|GURB,41.946044,2.241933,41.946043,2.241933,0.11,Carrer del Cabrerès,,1
CARRER DEL VIRREI AVILES 6|08500|VIC,41.920984,2.251159,41.920984,2.251159,0.00,Carrer Virrei Avilés,,1
CARRER DELS CORRETGERS 4|08500|VIC,41.929241,2.255914,41.929241,2.255914,0.00,Carrer dels Corretgers,,1
CARRER DELS ESTUDIS 6|08570|TORELLO,42.047974,2.265782,42.047974,2.265782,0.00,Carrer dels Estudis,,1
CARRER DELS MARQUESOS DE PALMEROL 2|08512|SANT HIPOLIT DE VOLTREGA,42.015155,2.239918,42.015155,2.239918,0.00,Carrer Marquesos de Palmerola,,1
CARRER DOCTOR FLEMING 53|08560|MANLLEU,42.001774,2.281600,42.001774,2.281600,0.00,Carrer Doctor Fleming,,1
CARRER D’EN PEROT ROCAGUINARDA 29|08500|VIC,41.933423,2.245420,41.933468,2.245663,20.77,Carrer de Perot Rocaguinarda,,1
CARRER D’EN PEROT ROCAGUINARDA 2|08500|VIC,41.930763,2.246250,41.930763,2.246250,0.00,Carrer de Perot Rocaguinarda,,1
CARRER EIX ONZE DE SETEMBRE 11|08500|VIC,41.925066,2.245647,41.925066,2.245647,0.00,Carrer Eix Onze de Setembre,,1
CARRER ENRIC PRAT DE LA RIBA 16|08500|VIC,41.920584,2.250764,41.920584,2.250764,0.00,Carrer d'Enric Prat de la Riba,,1
CARRER ESTEVE TERRADES 44|08402|GRANOLLERS,41.597991,2.290207,41.597991,2.290207,0.00,Carrer d'Esteve Terrades,,1
CARRER ESTEVE TERRADES 52|08402|GRANOLLERS,41.592940,2.290122,41.592940,2.290122,0.00,Carrer d'Esteve Terrades,,1
CARRER FRANCESC PUGET 2|08560|MANLLEU,42.004250,2.296083,42.004016,2.296159,26.74,,,1
CARRER FRANCISCO DE QUEVEDO 11|08402|GRANOLLERS,41.604278,2.291264,41.604278,2.291264,0.00,Carrer Francisco de Quevedo,,1
CARRER GRAN 15|08506|CALLDETENES,41.925476,2.282754,41.925448,2.282742,3.27,Carrer Gran,,1
CARRER GUAYAQUIL 30|08401|GRANOLLERS,41.604935,2.287564,41.604935,2.287564,0.00,Carrer de Guayaquil,,1
CARRER JAUME COLL 5|08100|MOLLET DEL VALLES,41.546052,2.206907,41.546085,2.207039,11.61,Carrer de Jaume Coll,,1
CARRER JOAQUIM BLUME 13|08105|SANT FOST DE CAMPSENTELLES,41.511603,2.241409,41.511603,2.241409,0.00,Carrer Joaquim Blume,,1
CARRER JOSEP TARRADELLAS 31|08187|SANTA EULALIA DE RONCANA,41.638890,2.233625,41.638890,2.233625,0.00,Carrer Josep Tarradellas,,1
CARRER L'ALIANCA 17|08186|LLICA D'AMUNT,41.610877,2.239431,41.610732,2.239462,16.31,Carrer de l'Aliança,,1
CARRER LA PAU 10|08170|MONTORNES DEL VALLES,41.544490,2.263859,41.544319,2.263751,21.02,Carrer de la Pau,,1
CARRER LLEIDA 7|17403|SANT HILARI SACALM,41.879243,2.511263,41.887535,2.442559,5777.19,Carretera de Sant Sadurní d'Osormort. Tram oest,,0
CARRER LLEVANT 2|08110|MONTCADA I REIXAC,41.477211,2.188616,41.477211,2.188616,0.00,Carrer de Llevant,,1
CARRER LLUIS COMPANYS 4|08160|MONTMELO,41.549758,2.245471,41.549394,2.245692,44.44,Carrer Primer de Maig,,1
CARRER MAJOR 16|08160|MONTMELO,41.551043,2.247244,41.551127,2.247467,20.81,Carrer d'Àngel Guimerà,,1
CARRER MAJOR 27|08160|MONTMELO,41.551043,2.247244,41.551127,2.247467,20.81,Carrer d'Àngel Guimerà,,1
CARRER MAJOR 31|08150|PARETS DEL VALLES,41.573134,2.233839,41.573072,2.233868,7.30,Carrer Major,,1
CARRER MAJOR 51|08160|MONTMELO,41.551043,2.247244,41.551127,2.247467,20.81,Carrer d'Àngel Guimerà,,1
CARRER MAJOR 57|08170|MONTORNES DEL VALLES,41.540300,2.271578,41.540300,2.271579,0.08,Carrer Major,,1
CARRER MAJOR 64|08170|MONTORNES DEL VALLES,41.540300,2.271578,41.540300,2.271579,0.08,Carrer Major,,1
CARRER MARE DE DEU DE LA SALUT 3|08187|SANTA EULALIA DE RONCANA,41.654401,2.229650,41.654401,2.229650,0.00,Carrer Mare de Déu del Pilar,,1
CARRER MARE DE DEU DELS MUTS 2|08500|VIC,41.935080,2.267016,41.935080,2.267016,0.00,Carrer de la Mare de Déu dels Munts,,1
CARRER MATAGALLS 75|08508|LES MASIES DE VOLTREGA,42.009755,2.244036,42.009538,2.243669,38.79,,,1
CARRER MIGUEL DE CERVANTES 19|08100|MOLLET DEL VALLES,41.543383,2.209726,41.543417,2.209687,4.99,Carrer de Miguel de Cervantes,,1
CARRER MONTSENY 10|08402|GRANOLLERS,41.609992,2.302936,41.609992,2.302937,0.08,Carrer del Montseny,,1
CARRER MONTSENY 15|08519|TAVERNOLES,41.952056,2.326706,41.952103,2.326806,9.80,,,1
CARRER MONTSENY 4|08402|GRANOLLERS,41.609850,2.302168,41.609719,2.301724,39.76,,,1
CARRER MONTSERRAT 20|08507|SANTA EUGENIA DE BERGA,41.899496,2.282579,41.899496,2.282579,0.00,Carrer de Montserrat,,1
CARRER NOU 7|08500|VIC,41.931418,2.259441,41.931418,2.259441,0.00,Carrer Nou,,1
CARRER NURIA 103|08570|TORELLO,42.053847,2.253160,42.053847,2.253160,0.00,Carrer de Núria,,1
CARRER PAISOS CATALANS 7|08191|VILANOVA DEL VALLES,41.481027,2.035849,41.480973,2.035894,7.08,Carrer del Doctor Ferran,,1
CARRER PINTOR GUARDIA 6|08560|MANLLEU,42.008243,2.281748,42.008243,2.281748,0.00,Carrer de Pintor Guàrdia,,1
CARRER RAFAEL CASANOVA 50|08401|GRANOLLERS,41.617894,2.287884,41.617894,2.287884,0.00,Carrer Rafael Casanova,,1
CARRER RAFAEL CASANOVA 60|08401|GRANOLLERS,41.617894,2.287884,41.617894,2.287884,0.00,Carrer Rafael Casanova,,1
CARRER RAMON PUJOLS CLAVERAS 42|08510|RODA DE TER,41.981413,2.309675,41.981256,2.309971,30.10,Carrer d'en Ramon Marti,,1
CARRER ROSSELLO 22|08521|BELLAVISTA,41.617027,2.296852,41.617027,2.296852,0.00,Carrer del Roselló,,1
CARRER SALVADOR ESPRIU 6|08150|PARETS DEL VALLES,41.572719,2.236508,41.572719,2.236508,0.00,Carrer Salvador Espriu,,1
CARRER SANT ROC 68|08570|TORELLO,42.042258,2.271991,42.042258,2.271991,0.00,Carrer Sant Roc,,1
CARRER TENES 23|08186|LLICA D'AMUNT,41.614134,2.241521,41.614134,2.241521,0.00,Carrer del Tenes,,1
CARRER TORELLO 57|08500|VIC,41.932562,2.265932,41.932562,2.265932,0.00,Carrer Torelló,,1
CARRETERA B-521 (SANT HIPOLIT) KM 4|08503|GURB,41.940987,2.243302,41.940859,2.243216,15.91,,,1
CARRETERA B-521 6|08500|VIC,41.943368,2.257421,41.943368,2.257421,0.00,Carretera de Manlleu a Vic,,1
CARRETERA BERGA 6|08580|SANT QUIRZE DE BESORA,42.101593,2.217655,42.101465,2.217751,16.28,Carretera de St Quirze a Vidrà,,1
CARRETERA BV-5213 KM 10|08500|VIC,42.432896,-2.551776,42.007238,1.912726,371601.70,Carretera de Sagàs a la Guàrdia,,0
CARRETERA BV-5224 (TORELLO) KM 1|08560|MANLLEU,41.999981,2.284116,41.999747,2.284551,44.45,Carrer de Sant Jordi,,1
CARRETERA BV-5224 1|08572|SANT PERE DE TORELLO,42.070695,2.290833,42.070646,2.290860,5.88,,,1
CARRETERA C-155 KM 14|08185|LLICA DE VALL,41.573451,2.211077,41.573570,2.211255,19.88,,,1
CARRETERA C-17 S/N|08551|TONA,41.846251,2.231976,41.846251,2.231976,0.00,Carretera de Seva,,1
"CARRETERA C-25 EIX TRANSVE KM 174,6|08503|GURB",41.940987,2.243302,41.940859,2.243216,15.91,,,1
CARRETERA CALDES 151|08186|LLICA D'AMUNT,41.629030,2.231522,41.629030,2.231522,0.00,Carretera de Caldes,,1
CARRETERA CALDES KM 14-15|08186|LLICA D'AMUNT,41.608517,2.239511,41.608481,2.239268,20.64,Carrer d'Anselm Clavé,,1
CARRETERA CARDEDEU 1|08520|BARCELONA,41.614871,2.373524,41.614871,2.373524,0.00,Carretera de Cardedeu a Dosrius,,1
CARRETERA D LA GUIXA 10|08500|VIC,41.924354,2.250692,41.924354,2.250692,0.00,Carretera de La Guixa,,1
CARRETERA D'ARBUCIES 21|08507|SANTA EUGENIA DE BERGA,41.903509,2.281774,41.903509,2.281774,0.00,Carretera d'Arbúcies,,1
CARRETERA D'OLOT 140|08560|MANLLEU,42.001222,2.286075,42.001222,2.286075,0.00,Carretera d'Olot,,1
CARRETERA D'OLOT 7|08560|MANLLEU,42.003834,2.295136,42.003835,2.295136,0.11,Carretera d'Olot,,1
CARRETERA DE MANLLEU 7|08500|VIC,41.936685,2.254869,41.936685,2.254868,0.08,Carretera de Manlleu,,1
CARRETERA DE MANLLEU KM 4|08503|GURB,41.953292,2.262327,41.953292,2.262327,0.00,Carretera de Manlleu a Vic,,1
CARRETERA DE PARETS A BIGUES I KM 8|08186|LLICA DE MUNT,41.585262,2.210596,41.585262,2.210596,0.00,Carrer d'Arenys de Munt,,1
"CARRETERA DE RIBES, N-152 131|08520|LES FRANQUESES DEL VALLES",41.623917,2.293605,41.623917,2.293604,0.08,Carretera de Ribes,,1
CARRETERA DE RODA 1|08500|VIC,41.932992,2.261336,41.932992,2.261337,0.08,Carretera de Roda,,1
CARRETERA DE RODA 61|08500|VIC,41.932992,2.261336,41.932992,2.261337,0.08,Carretera de Roda,,1
CARRETERA DE RODA 97|08500|VIC,41.932000,2.260728,41.932000,2.260728,0.00,Carretera de Roda,,1
CARRETERA DE VIC 217|08500|VIC,41.943181,2.257568,41.943181,2.257568,0.00,Carretera de Manlleu a Vic,,1
CARRETERA LA ROCA S/N|08105|SANT FOST DE CAMPSENTELLE,41.518508,2.232798,41.518416,2.232689,13.68,Avinguda Prat de la Riba,,1
CARRETERA MONTCADA 148|08223|TERRASSA,41.557743,2.018727,41.557743,2.018727,0.00,Carretera de Montcada,,1
CARRETERA MONTMELO 120|08403|GRANOLLERS,41.561794,2.257127,41.561794,2.257127,0.00,Carretera a Granollers,,1
CARRETERA N-141 D S/N|08506|CALLDETENES,41.929051,2.298813,41.928885,2.298842,18.59,Carretera de Sant Hilari de Sacalm,,1
CARRETERA OLESA S/N|08232|VILADECAVALLS,41.554576,1.949556,41.555033,1.955594,506.12,Carretera de Terrassa a Olesa,,0
CARRETERA PALAUDARIES 79|08186|LLICA D'AMUNT,41.589750,2.204847,41.589750,2.204847,0.00,Carretera de Palaudàries a la C-155,,1
CARRETERA PARETS A BIGUES 8|08186|LLICA D'AMUNT,41.651474,2.230210,41.651483,2.230289,6.65,Carretera de Bigues a Lliçà d'Amunt,,1
CARRETERA PRATS DE LLUCANES 14|08500|VIC,41.927799,2.241630,41.927378,2.241654,46.80,Carretera de Prats de Lluçanès,,1
CARRETERA PUIG-L'AGULLA S/N|08504|SANT JULIA DE VILATORTA,41.890757,2.337028,41.894995,2.343603,720.75,,,0
CARRETERA SANT ADRIA DEL BESOS-L 17|08170|MONTORNES DEL VALLES,41.542545,2.267056,41.542460,2.267004,10.39,Carrer d'Anselm Clavé,,1
CARRETERA SANT HILARI SACALM S/N|08500|VIC,41.926024,2.277961,41.926024,2.277961,0.00,Carretera de Sant Hilari de Sacalm,,1
CARRETERA SEVA 2|08554|SANT MIQUEL DE BALENYA,41.841766,2.250990,41.841660,2.250865,15.70,Carrer de l'Alegria,,1
CARRETERA VIDRA 2|08580|SANT QUIRZE DE BESORA,42.101416,2.217642,42.101417,2.217641,0.14,Carretera de St Quirze a Vidrà,,1
CARRETERA VIDRA KM 1|08584|SANTA MARIA DE BESORA,42.123665,2.250987,42.121706,2.253426,296.69,Carretera de St Quirze a Vidrà,,0
CASA NOVA DEL CASTELL S/N|08585|MONTESQUIU,42.125515,2.219654,42.124189,2.204814,1235.90,Autovia Barcelona - Vic - Ripoll,,0
CATALUNYA 102|08150|PARETS DEL VALLES,41.565323,2.229146,41.565323,2.229146,0.00,Avinguda de Catalunya,,1
CR GRANOLLERS SABADELL KM. 13 -|08185|LLICA DE VALL,41.586300,2.239140,41.586491,2.239288,24.54,Plaça de la Vila,,1
"CR JOAN PRIM, 90 -|08400|GRANOLLERS",41.613517,2.290402,41.613517,2.290402,0.00,Carrer de Joan Prim,,1
"CR SANT ROC, 5 -|08400|GRANOLLERS",41.608424,2.288049,41.609582,2.288552,135.27,,,1
"CTRA. DE SANT HIPOLIT, 53 (NAU 4)|08500|VIC",41.939354,2.254115,41.939354,2.254115,0.00,Carretera de Sant Hipòlit de Voltregà,,1
CTRA. PARADOR KM. 7|08519|TAVERNOLES,41.973421,2.346359,41.973421,2.346359,0.00,Carretera Parador km 7,,1
DE LA MUNTANYA 100|08400|GRANOLLERS,41.608008,2.287244,41.608184,2.286049,101.49,Carrer de Sant Bartomeu,,1
"DE LA NORIA 15|08430|ROCA DEL VALLES, LA",41.587336,2.326058,41.587303,2.326220,14.00,Carrer de Pompeu Fabra,,1
DEL CALDERI S/N|08100|MOLLET DEL VALLES,41.528052,2.209484,41.528656,2.209442,67.17,camí antic Calderí,,1
ENGINYER 7-9|08400|GRANOLLERS,41.609741,2.289555,41.610179,2.289662,49.46,Carrer de Josep Irla i Bosch,,1
ENRIC DELARIS 28|08560|MANLLEU,41.999601,2.283013,41.999601,2.283065,4.31,Carrer Enric Delaris,,1
ESPANYA 8|08520|FRANQUESES DEL VALLES (LES),41.617105,2.294973,41.616951,2.294894,18.33,Carrer de Provença,,1
ESTACIO 2|08500|VIC,41.930727,2.249510,41.930727,2.249510,0.00,Plaça de l'Estació,,1
ESTEVE TERRADES 38|08401|GRANOLLERS,41.597991,2.290207,41.597991,2.290207,0.00,Carrer d'Esteve Terrades,,1
FEDERICO GARCIA LORCA 21|08170|MONTORNES DEL VALLES,41.553719,2.267259,41.553719,2.267260,0.08,Carrer de Federico García Lorca,,1
FRANCESC CAMBO 21 -|08100|MOLLET DEL VALLES,41.539393,2.210880,41.539420,2.210924,4.74,Carrer de Francesc Cambó,,1
GERONA 185|08400|GRANOLLERS,42.056723,2.643502,42.122872,2.430498,19096.85,Carretera de Joanetes,,0
GERONA 191|08400|GRANOLLERS,41.591467,2.261449,41.591505,2.261288,14.08,,,1
GERONA 21|08402|GRANOLLERS,41.618305,2.293063,41.618448,2.293121,16.60,Carrer de Pere el Gran,,1
